    0    25    35	RPs/Img: 28.00	IOU: 59.67%	Recall:71.43%	Precision:89.29%	RMSE:1.24 avgRMSE:1.24	C0: 1.00  C1: 0.75  C2: -nan  C3: 0.65  C4: 0.80 
    1    51    71	RPs/Img: 29.00	IOU: 58.15%	Recall:71.83%	Precision:87.93%	RMSE:1.22 avgRMSE:1.23	C0: 0.50  C1: 0.67  C2: -nan  C3: 0.66  C4: 0.89 
    2    51    72	RPs/Img: 19.67	IOU: 57.94%	Recall:70.83%	Precision:86.44%	RMSE:1.00 avgRMSE:1.16	C0: 0.50  C1: 0.60  C2: -nan  C3: 0.66  C4: 0.89 
    3    51    73	RPs/Img: 14.75	IOU: 57.15%	Recall:69.86%	Precision:86.44%	RMSE:1.00 avgRMSE:1.12	C0: 0.50  C1: 0.55  C2: -nan  C3: 0.66  C4: 0.89 
    4    51    74	RPs/Img: 12.20	IOU: 56.98%	Recall:68.92%	Precision:83.61%	RMSE:1.00 avgRMSE:1.09	C0: 0.50  C1: 0.50  C2: -nan  C3: 0.66  C4: 0.89 
    5    55    86	RPs/Img: 10.83	IOU: 53.29%	Recall:63.95%	Precision:84.62%	RMSE:2.04 avgRMSE:1.25	C0: 0.33  C1: 0.50  C2: -nan  C3: 0.60  C4: 0.89 
    6    63   100	RPs/Img: 10.43	IOU: 53.38%	Recall:63.00%	Precision:86.30%	RMSE:1.60 avgRMSE:1.30	C0: 0.50  C1: 0.50  C2: -nan  C3: 0.58  C4: 0.89 
    7    69   109	RPs/Img: 10.00	IOU: 53.89%	Recall:63.30%	Precision:86.25%	RMSE:1.00 avgRMSE:1.26	C0: 0.67  C1: 0.54  C2: -nan  C3: 0.58  C4: 0.89 
    8    69   110	RPs/Img: 8.89	IOU: 53.40%	Recall:62.73%	Precision:86.25%	RMSE:1.00 avgRMSE:1.23	C0: 0.67  C1: 0.50  C2: -nan  C3: 0.58  C4: 0.89 
    9    70   111	RPs/Img: 8.10	IOU: 53.70%	Recall:63.06%	Precision:86.42%	RMSE:0.00 avgRMSE:1.11	C0: 0.67  C1: 0.53  C2: -nan  C3: 0.58  C4: 0.89 
   10    77   119	RPs/Img: 8.36	IOU: 54.55%	Recall:64.71%	Precision:83.70%	RMSE:0.35 avgRMSE:1.04	C0: 0.71  C1: 0.56  C2: -nan  C3: 0.60  C4: 0.89 
   11    77   121	RPs/Img: 7.67	IOU: 53.65%	Recall:63.64%	Precision:83.70%	RMSE:1.41 avgRMSE:1.07	C0: 0.71  C1: 0.56  C2: -nan  C3: 0.58  C4: 0.89 
   12    85   130	RPs/Img: 8.38	IOU: 54.84%	Recall:65.38%	Precision:77.98%	RMSE:0.33 avgRMSE:1.02	C0: 0.75  C1: 0.55  C2: -nan  C3: 0.61  C4: 0.89 
   13    97   147	RPs/Img: 8.50	IOU: 54.96%	Recall:65.99%	Precision:81.51%	RMSE:1.21 avgRMSE:1.03	C0: 0.75  C1: 0.55  C2: 0.29  C3: 0.61  C4: 0.93 
   14   103   160	RPs/Img: 8.47	IOU: 55.08%	Recall:64.38%	Precision:81.10%	RMSE:1.27 avgRMSE:1.05	C0: 0.67  C1: 0.55  C2: 0.25  C3: 0.61  C4: 0.89 
   15   104   161	RPs/Img: 8.00	IOU: 55.27%	Recall:64.60%	Precision:81.25%	RMSE:0.00 avgRMSE:0.98	C0: 0.67  C1: 0.55  C2: 0.25  C3: 0.62  C4: 0.89 
   16   106   163	RPs/Img: 7.71	IOU: 55.43%	Recall:65.03%	Precision:80.92%	RMSE:0.00 avgRMSE:0.92	C0: 0.70  C1: 0.57  C2: 0.25  C3: 0.62  C4: 0.89 
   17   115   177	RPs/Img: 7.72	IOU: 55.25%	Recall:64.97%	Precision:82.73%	RMSE:1.10 avgRMSE:0.93	C0: 0.73  C1: 0.57  C2: 0.28  C3: 0.62  C4: 0.88 
   18   116   178	RPs/Img: 7.37	IOU: 55.36%	Recall:65.17%	Precision:82.86%	RMSE:0.00 avgRMSE:0.88	C0: 0.73  C1: 0.59  C2: 0.28  C3: 0.62  C4: 0.88 
   19   116   181	RPs/Img: 7.00	IOU: 54.45%	Recall:64.09%	Precision:82.86%	RMSE:1.73 avgRMSE:0.93	C0: 0.73  C1: 0.59  C2: 0.24  C3: 0.62  C4: 0.88 
   20   117   182	RPs/Img: 6.71	IOU: 54.61%	Recall:64.29%	Precision:82.98%	RMSE:0.00 avgRMSE:0.88	C0: 0.73  C1: 0.59  C2: 0.24  C3: 0.62  C4: 0.88 
   21   118   184	RPs/Img: 6.50	IOU: 54.68%	Recall:64.13%	Precision:82.52%	RMSE:0.71 avgRMSE:0.87	C0: 0.75  C1: 0.59  C2: 0.24  C3: 0.62  C4: 0.86 
   22   119   185	RPs/Img: 6.30	IOU: 54.84%	Recall:64.32%	Precision:82.07%	RMSE:0.00 avgRMSE:0.84	C0: 0.75  C1: 0.59  C2: 0.24  C3: 0.62  C4: 0.87 
   23   120   186	RPs/Img: 6.08	IOU: 54.98%	Recall:64.52%	Precision:82.19%	RMSE:0.00 avgRMSE:0.80	C0: 0.75  C1: 0.61  C2: 0.24  C3: 0.62  C4: 0.87 
   24   121   187	RPs/Img: 5.92	IOU: 55.08%	Recall:64.71%	Precision:81.76%	RMSE:0.00 avgRMSE:0.77	C0: 0.77  C1: 0.61  C2: 0.24  C3: 0.62  C4: 0.87 
   25   122   188	RPs/Img: 5.73	IOU: 55.26%	Recall:64.89%	Precision:81.88%	RMSE:0.00 avgRMSE:0.74	C0: 0.79  C1: 0.61  C2: 0.24  C3: 0.62  C4: 0.87 
   26   131   204	RPs/Img: 5.96	IOU: 54.94%	Recall:64.22%	Precision:81.37%	RMSE:1.15 avgRMSE:0.75	C0: 0.73  C1: 0.61  C2: 0.26  C3: 0.60  C4: 0.88 
   27   133   206	RPs/Img: 5.86	IOU: 55.17%	Recall:64.56%	Precision:81.10%	RMSE:0.00 avgRMSE:0.73	C0: 0.76  C1: 0.61  C2: 0.26  C3: 0.60  C4: 0.88 
